2020-11-08,2020-2021,Ligue 1,Lille,Brest,Away,2,3,L,Reinildo Mandava,N,N/A,45,0,0,0,0,1,0,2,1,0,1,3
2020-11-29,2020-2021,Ligue 1,Lille,Saint-Étienne,Away,1,1,D,Reinildo Mandava,N,N/A,23,0,0,0,0,0,0,0,0,0,1,0
2020-12-06,2020-2021,Ligue 1,Lille,Monaco,Home,2,1,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,2,0,1,3
2020-12-13,2020-2021,Ligue 1,Lille,Bordeaux,Home,2,1,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,0,0,3,2
2020-12-16,2020-2021,Ligue 1,Lille,Dijon,Away,2,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,0,1,0,2,2
2020-12-20,2020-2021,Ligue 1,Lille,Paris Saint-Germain,Home,0,0,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,3,2,0,1,1
2020-12-23,2020-2021,Ligue 1,Lille,Montpellier,Away,3,2,W,Reinildo Mandava,Y,LB,57,0,0,0,0,0,0,0,3,0,1,1
2021-01-06,2020-2021,Ligue 1,Lille,Angers,Home,1,2,L,Reinildo Mandava,Y,LB,78,0,0,1,0,0,0,2,2,0,3,3
2021-01-09,2020-2021,Ligue 1,Lille,Nîmes,Away,1,0,W,Reinildo Mandava,N,N/A,26,0,0,0,0,0,0,0,0,0,2,2
2021-01-24,2020-2021,Ligue 1,Lille,Rennes,Away,1,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,2,0,0,1
2021-02-03,2020-2021,Ligue 1,Lille,Bordeaux,Away,3,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,2,1,5,2
2021-02-07,2020-2021,Ligue 1,Lille,Nantes,Away,2,0,W,Reinildo Mandava,Y,LB,45,0,0,0,0,0,0,0,1,0,3,0
2021-02-14,2020-2021,Ligue 1,Lille,Brest,Home,0,0,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,3,1,4,1,0
2021-02-21,2020-2021,Ligue 1,Lille,Lorient,Away,4,1,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,0,0,1,3
2021-02-28,2020-2021,Ligue 1,Lille,Strasbourg,Home,1,1,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,3,1,0,9,1
2021-03-03,2020-2021,Ligue 1,Lille,Marseille,Home,2,0,W,Reinildo Mandava,Y,LB,90,0,0,1,0,0,0,3,0,0,5,1
2021-03-14,2020-2021,Ligue 1,Lille,Monaco,Away,0,0,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,1,0,2,2
2021-03-21,2020-2021,Ligue 1,Lille,Nîmes,Home,1,2,L,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,4,0,0,11,1
2021-04-03,2020-2021,Ligue 1,Lille,Paris Saint-Germain,Away,1,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,5,0,2,2
2021-04-09,2020-2021,Ligue 1,Lille,Metz,Away,2,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,0,1,0,3,1
2021-04-16,2020-2021,Ligue 1,Lille,Montpellier,Home,1,1,D,Reinildo Mandava,Y,LB,85,0,0,1,0,1,0,4,0,0,5,2
2021-04-25,2020-2021,Ligue 1,Lille,Lyon,Away,3,2,W,Reinildo Mandava,N,N/A,45,0,0,0,0,0,0,0,0,0,3,1
2021-05-01,2020-2021,Ligue 1,Lille,Nice,Home,2,0,W,Reinildo Mandava,Y,LB,90,0,0,1,0,0,0,0,1,0,2,2
2021-05-07,2020-2021,Ligue 1,Lille,Lens,Away,3,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,0,2,0,0,1
2021-05-16,2020-2021,Ligue 1,Lille,Saint-Étienne,Home,0,0,D,Reinildo Mandava,Y,LB,88,0,0,0,0,0,0,1,1,0,5,1
2021-05-23,2020-2021,Ligue 1,Lille,Angers,Away,2,1,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,0,0,2,3
2021-08-08,2021-2022,Ligue 1,Lille,Metz,Away,3,3,D,Reinildo Mandava,Y,LB,74,0,0,0,0,0,0,1,1,1,2,1
2021-08-14,2021-2022,Ligue 1,Lille,Nice,Home,0,4,L,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,1,0,1,0
2021-08-21,2021-2022,Ligue 1,Lille,Saint-Étienne,Away,1,1,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,2,4,2,1
2021-08-29,2021-2022,Ligue 1,Lille,Montpellier,Home,2,1,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,3,3,0,0,2
2021-09-10,2021-2022,Ligue 1,Lille,Lorient,Away,1,2,L,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,1,2,1,1
2021-09-18,2021-2022,Ligue 1,Lille,Lens,Away,0,1,L,Reinildo Mandava,Y,LB,77,0,0,0,0,1,0,1,3,2,1,0
2021-09-25,2021-2022,Ligue 1,Lille,Strasbourg,Away,2,1,W,Reinildo Mandava,Y,LB,90,0,0,0,0,1,0,2,2,0,3,2
2021-10-03,2021-2022,Ligue 1,Lille,Marseille,Home,2,0,W,Reinildo Mandava,Y,LB,45,0,0,0,0,1,0,2,0,0,1,0
2021-10-23,2021-2022,Ligue 1,Lille,Brest,Home,1,1,D,Reinildo Mandava,Y,LB,76,0,0,0,0,1,0,3,3,3,1,2
2021-10-29,2021-2022,Ligue 1,Lille,Paris Saint-Germain,Away,1,2,L,Reinildo Mandava,Y,LB,90,0,0,0,0,1,0,3,0,1,1,1
2021-11-06,2021-2022,Ligue 1,Lille,Angers,Home,1,1,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,2,0,2,4
2021-11-27,2021-2022,Ligue 1,Lille,Nantes,Home,1,1,D,Reinildo Mandava,Y,LB,90,0,0,1,1,0,0,2,1,1,2,0
2021-12-01,2021-2022,Ligue 1,Lille,Rennes,Away,2,1,W,Reinildo Mandava,Y,LB,90,0,0,1,0,1,0,5,1,0,1,6
2021-12-04,2021-2022,Ligue 1,Lille,Troyes,Home,2,1,W,Reinildo Mandava,Y,LB,82,0,0,2,1,0,0,1,2,1,1,3
2021-12-22,2021-2022,Ligue 1,Lille,Bordeaux,Away,3,2,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,1,1,3,2
2022-01-16,2021-2022,Ligue 1,Lille,Marseille,Away,1,1,D,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,1,0,0,4
2022-01-19,2021-2022,Ligue 1,Lille,Lorient,Home,3,1,W,Reinildo Mandava,Y,LB,90,1,0,2,1,0,0,0,3,2,0,3
2022-01-22,2021-2022,Ligue 1,Lille,Brest,Away,0,2,L,Reinildo Mandava,Y,LB,90,0,0,0,0,1,0,1,0,3,2,4
2022-02-06,2021-2022,La Liga,Atlético Madrid,Barcelona,Away,2,4,L,Reinildo Mandava,N,N/A,36,0,0,0,0,0,0,0,0,2,0,0
2022-02-12,2021-2022,La Liga,Atlético Madrid,Getafe,Home,4,3,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,0,4,0,1
2022-02-16,2021-2022,La Liga,Atlético Madrid,Levante,Home,0,1,L,Reinildo Mandava,Y,LB,77,0,0,0,0,0,0,0,4,5,0,2
2022-02-19,2021-2022,La Liga,Atlético Madrid,Osasuna,Away,3,0,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,1,0,0,0,2
2022-02-26,2021-2022,La Liga,Atlético Madrid,Celta Vigo,Home,2,0,W,Reinildo Mandava,Y,CB,90,0,0,0,0,1,0,3,1,0,2,4
2022-03-06,2021-2022,La Liga,Atlético Madrid,Real Betis,Away,3,1,W,Reinildo Mandava,Y,CB,90,0,0,0,0,0,0,2,1,0,2,2
2022-03-11,2021-2022,La Liga,Atlético Madrid,Cádiz,Home,2,1,W,Reinildo Mandava,Y,CB,90,0,0,0,0,1,0,6,0,0,2,2
2022-03-19,2021-2022,La Liga,Atlético Madrid,Rayo Vallecano,Away,1,0,W,Reinildo Mandava,Y,CB,90,0,0,1,0,0,0,3,4,0,2,1
2022-04-02,2021-2022,La Liga,Atlético Madrid,Alavés,Home,4,1,W,Reinildo Mandava,Y,LB,90,0,0,0,0,0,0,2,1,0,1,2
2022-04-09,2021-2022,La Liga,Atlético Madrid,Mallorca,Away,0,1,L,Reinildo Mandava,Y,CB,90,0,0,0,0,1,0,2,1,0,2,0
2022-04-17,2021-2022,La Liga,Atlético Madrid,Espanyol,Home,2,1,W,Reinildo Mandava,N,N/A,33,0,0,0,0,0,0,1,0,0,0,2
2022-04-20,2021-2022,La Liga,Atlético Madrid,Granada,Home,0,0,D,Reinildo Mandava,Y,CB,45,0,0,0,0,1,0,1,1,0,0,0
2022-04-30,2021-2022,La Liga,Atlético Madrid,Athletic Club,Away,0,2,L,Reinildo Mandava,Y,CB,45,0,0,0,0,1,0,1,0,0,1,1
2022-05-08,2021-2022,La Liga,Atlético Madrid,Real Madrid,Home,1,0,W,Reinildo Mandava,Y,LB,72,0,0,0,0,0,0,0,1,1,0,0
2022-05-11,2021-2022,La Liga,Atlético Madrid,Elche,Away,2,0,W,Reinildo Mandava,Y,CB,90,0,0,0,0,0,0,1,1,1,4,0
2022-05-15,2021-2022,La Liga,Atlético Madrid,Sevilla,Home,1,1,D,Reinildo Mandava,Y,CB,90,0,0,1,0,0,0,1,1,1,6,2
2022-05-22,2021-2022,La Liga,Atlético Madrid,Real Sociedad,Away,2,1,W,Reinildo Mandava,Y,CB,90,0,0,0,0,0,0,2,3,0,3,0
2022-08-15,2022-2023,La Liga,Atlético Madrid,Getafe,Away,3,0,W,Reinildo Mandava,Y,CB,90,0,0,0,0,0,0,5,3,0,1,2
2022-08-21,2022-2023,La Liga,Atlético Madrid,Villarreal,Home,0,2,L,Reinildo Mandava,Y,CB,90,0,0,0,0,0,0,0,1,0,2,0
2022-08-29,2022-2023,La Liga,Atlético Madrid,Valencia,Away,1,0,W,Reinildo Mandava,Y,CB,90,0,0,0,0,1,0,2,2,0,2,1
2022-09-03,2022-2023,La Liga,Atlético Madrid,Real Sociedad,Away,1,1,D,Reinildo Mandava,Y,CB,90,0,0,0,0,0,0,3,0,0,0,2
2022-09-10,2022-2023,La Liga,Atlético Madrid,Celta Vigo,Home,4,1,W,Reinildo Mandava,Y,CB,90,0,0,0,0,0,0,0,2,0,2,1
2022-09-18,2022-2023,La Liga,Atlético Madrid,Real Madrid,Home,1,2,L,Reinildo Mandava,Y,CB,90,0,0,1,0,1,0,3,3,0,1,1
