PLAYER,SEASON,TEAM
Brahim Díaz,2017-2018,Manchester City U23
Brahim Díaz,2017-2018,Manchester City
Brahim Díaz,2018-2019,Real Madrid
Brahim Díaz,2019-2020,Real Madrid
Brahim Díaz,2020-2021,Milan
Brahim Díaz,2021-2022,Milan
Brahim Díaz,2022-2023,Milan
Brahim Díaz,2023-2024,Real Madrid
Brahim Díaz,2024-2025,Real Madrid
Brahim Díaz,2025-2026,Real Madrid
Bryan Zaragoza,2021-2022,Granada
Bryan Zaragoza,2022-2023,Granada
Bryan Zaragoza,2023-2024,Granada
Bryan Zaragoza,2023-2024,Bayern Munich
Bryan Zaragoza,2024-2025,Osasuna
Bryan Zaragoza,2025-2026,Roma
Bryan Zaragoza,2025-2026,Celta Vigo
Carl Starfelt,2014-2015,Brommapojkarna
Carl Starfelt,2015-2016,Brommapojkarna
Carl Starfelt,2017-2018,Brommapojkarna
Carl Starfelt,2018-2019,Göteborg
Carl Starfelt,2019-2020,Göteborg
Carl Starfelt,2019-2020,Rubin Kazan
Carl Starfelt,2020-2021,Rubin Kazan
Carl Starfelt,2021-2022,Celtic
Carl Starfelt,2022-2023,Celtic
Carl Starfelt,2023-2024,Celtic
Carl Starfelt,2023-2024,Celta Vigo
Carl Starfelt,2024-2025,Celta Vigo
Carl Starfelt,2025-2026,Celta Vigo
Carles Pérez,2017-2018,Barcelona B
Carles Pérez,2018-2019,Barcelona
Carles Pérez,2019-2020,Barcelona
Carles Pérez,2019-2020,Roma
Carles Pérez,2020-2021,Roma
Carles Pérez,2021-2022,Roma
Carles Pérez,2022-2023,Celta Vigo
Carles Pérez,2023-2024,Celta Vigo
Carles Pérez,2024-2025,Getafe
Carles Pérez,2025-2026,Aris
Carlos Benavídez,2015-2016,Defensor Sporting
Carlos Benavídez,2016-2017,Defensor Sporting
Carlos Benavídez,2017-2018,Defensor Sporting
Carlos Benavídez,2018-2019,Defensor Sporting
Carlos Benavídez,2018-2019,Independiente
Carlos Benavídez,2019-2020,Independiente
Carlos Benavídez,2021-2022,Independiente
Carlos Benavídez,2022-2023,Alavés
Carlos Benavídez,2023-2024,Alavés
Carlos Benavídez,2024-2025,Alavés
Carlos Benavídez,2025-2026,Alavés
Carlos Romero,2022-2023,Villarreal
Carlos Romero,2022-2023,Villarreal B
Carlos Romero,2023-2024,Villarreal
Carlos Romero,2023-2024,Villarreal B
Carlos Romero,2024-2025,Espanyol
Carlos Romero,2025-2026,Espanyol
Catena,2018-2019,Reus
Catena,2018-2019,Rayo Vallecano
Catena,2019-2020,Rayo Vallecano
Catena,2020-2021,Rayo Vallecano
Catena,2021-2022,Rayo Vallecano
Catena,2022-2023,Rayo Vallecano
Catena,2023-2024,Osasuna
Catena,2024-2025,Osasuna
Catena,2025-2026,Osasuna
Conor Gallagher,2016-2017,Chelsea
Conor Gallagher,2017-2018,Chelsea
Conor Gallagher,2018-2019,Chelsea
Conor Gallagher,2019-2020,Charlton Athletic
Conor Gallagher,2019-2020,Swansea City
Conor Gallagher,2020-2021,West Bromwich Albion
Conor Gallagher,2021-2022,Crystal Palace
Conor Gallagher,2022-2023,Chelsea
Conor Gallagher,2023-2024,Chelsea
Conor Gallagher,2024-2025,Atlético Madrid
Conor Gallagher,2025-2026,Atlético Madrid
Conor Gallagher,2025-2026,Tottenham Hotspur
Dani Carvajal,2012-2013,Bayer Leverkusen
Dani Carvajal,2013-2014,Real Madrid
Dani Carvajal,2014-2015,Real Madrid
Dani Carvajal,2015-2016,Real Madrid
Dani Carvajal,2016-2017,Real Madrid
Dani Carvajal,2017-2018,Real Madrid
Dani Carvajal,2018-2019,Real Madrid
Dani Carvajal,2019-2020,Real Madrid
Dani Carvajal,2020-2021,Real Madrid
Dani Carvajal,2021-2022,Real Madrid
Dani Carvajal,2022-2023,Real Madrid
Dani Carvajal,2023-2024,Real Madrid
Dani Carvajal,2024-2025,Real Madrid
Dani Carvajal,2025-2026,Real Madrid
Dani Ceballos,2013-2014,Real Betis
Dani Ceballos,2014-2015,Real Betis
Dani Ceballos,2015-2016,Real Betis
Dani Ceballos,2016-2017,Real Betis
Dani Ceballos,2017-2018,Real Madrid
Dani Ceballos,2018-2019,Real Madrid
Dani Ceballos,2019-2020,Arsenal
Dani Ceballos,2020-2021,Arsenal
Dani Ceballos,2021-2022,Real Madrid
Dani Ceballos,2022-2023,Real Madrid
Dani Ceballos,2023-2024,Real Madrid
Dani Ceballos,2024-2025,Real Madrid
Dani Ceballos,2025-2026,Real Madrid
Dani Rodríguez,2017-2018,Albacete
Dani Rodríguez,2018-2019,Mallorca
Dani Rodríguez,2019-2020,Mallorca
Dani Rodríguez,2020-2021,Mallorca
Dani Rodríguez,2021-2022,Mallorca
Dani Rodríguez,2022-2023,Mallorca
Dani Rodríguez,2023-2024,Mallorca
Dani Rodríguez,2024-2025,Mallorca
Dani Rodríguez,2025-2026,Mallorca
Dani Rodríguez,2025-2026,Leganés
Daniel Parejo,2006-2007,Real Madrid B
Daniel Parejo,2008-2009,Real Madrid
Daniel Parejo,2008-2009,Queens Park Rangers (QPR)
Daniel Parejo,2009-2010,Getafe
Daniel Parejo,2010-2011,Getafe
Daniel Parejo,2011-2012,Valencia
Daniel Parejo,2012-2013,Valencia
Daniel Parejo,2013-2014,Valencia
Daniel Parejo,2014-2015,Valencia
Daniel Parejo,2015-2016,Valencia
Daniel Parejo,2016-2017,Valencia
Daniel Parejo,2017-2018,Valencia
Daniel Parejo,2018-2019,Valencia
Daniel Parejo,2019-2020,Valencia
Daniel Parejo,2020-2021,Villarreal
Daniel Parejo,2021-2022,Villarreal
Daniel Parejo,2022-2023,Villarreal
Daniel Parejo,2023-2024,Villarreal
Daniel Parejo,2024-2025,Villarreal
Daniel Parejo,2025-2026,Villarreal
Darko Brašanac,2009-2010,Partizan
Darko Brašanac,2010-2011,Partizan
Darko Brašanac,2011-2012,Smederevo
Darko Brašanac,2012-2013,Partizan
Darko Brašanac,2013-2014,Partizan
Darko Brašanac,2014-2015,Partizan
Darko Brašanac,2015-2016,Partizan
Darko Brašanac,2016-2017,Partizan
Darko Brašanac,2016-2017,Real Betis
Darko Brašanac,2017-2018,Leganés
Darko Brašanac,2018-2019,Alavés
Darko Brašanac,2018-2019,Real Betis
Darko Brašanac,2019-2020,Osasuna
Darko Brašanac,2020-2021,Osasuna
Darko Brašanac,2021-2022,Osasuna
Darko Brašanac,2022-2023,Osasuna
Darko Brašanac,2023-2024,Osasuna
Darko Brašanac,2023-2024,Leganés
Darko Brašanac,2024-2025,Leganés
Darko Brašanac,2025-2026,Málaga
Darwin Machís,2012-2013,Granada
Darwin Machís,2012-2013,Vitória Guimarães
Darwin Machís,2013-2014,Hércules
Darwin Machís,2014-2015,Granada
Darwin Machís,2015-2016,Huesca
Darwin Machís,2016-2017,Leganés
Darwin Machís,2017-2018,Granada
Darwin Machís,2018-2019,Udinese
Darwin Machís,2018-2019,Cádiz
Darwin Machís,2019-2020,Granada
Darwin Machís,2020-2021,Granada
Darwin Machís,2021-2022,Granada
Darwin Machís,2022-2023,Valladolid
Darwin Machís,2022-2023,FC Juárez
Darwin Machís,2023-2024,Cádiz
Darwin Machís,2024-2025,Valladolid
Darwin Machís,2025-2026,Universidad Central
Darwin Machís,2026-2027,América de Cali
David Soria,2016-2017,Sevilla
David Soria,2017-2018,Sevilla
David Soria,2018-2019,Getafe
David Soria,2019-2020,Getafe
David Soria,2020-2021,Getafe
David Soria,2021-2022,Getafe
David Soria,2022-2023,Getafe
David Soria,2023-2024,Getafe
David Soria,2024-2025,Getafe
David Soria,2025-2026,Getafe
Diego Conde,2020-2021,Leganés
Diego Conde,2021-2022,Getafe
Diego Conde,2022-2023,Leganés
Diego Conde,2023-2024,Leganés
Diego Conde,2024-2025,Villarreal
Diego Llorente,2012-2013,Real Madrid
Diego Llorente,2012-2013,Real Madrid B
Diego Llorente,2013-2014,Real Madrid B
Diego Llorente,2013-2014,Real Madrid
Diego Llorente,2014-2015,Real Madrid
Diego Llorente,2015-2016,Rayo Vallecano
Diego Llorente,2016-2017,Málaga
Diego Llorente,2017-2018,Real Sociedad
Diego Llorente,2018-2019,Real Sociedad
Diego Llorente,2019-2020,Real Sociedad
Diego Llorente,2020-2021,Real Sociedad
Diego Llorente,2020-2021,Leeds United U23
Diego Llorente,2020-2021,Leeds United
Diego Llorente,2021-2022,Leeds United
Diego Llorente,2022-2023,Leeds United
Diego Llorente,2022-2023,Roma
Diego Llorente,2023-2024,Roma
Diego Llorente,2024-2025,Real Betis
Diego Llorente,2025-2026,Real Betis
Diego Rico,2013-2014,Zaragoza
Diego Rico,2014-2015,Zaragoza
Diego Rico,2015-2016,Zaragoza
Diego Rico,2016-2017,Leganés
Diego Rico,2017-2018,Leganés
Diego Rico,2018-2019,Bournemouth
Diego Rico,2019-2020,Bournemouth
Diego Rico,2020-2021,Bournemouth
Diego Rico,2021-2022,Real Sociedad
Diego Rico,2022-2023,Real Sociedad
Diego Rico,2023-2024,Real Sociedad
Diego Rico,2023-2024,Getafe
Diego Rico,2024-2025,Getafe
Diego Rico,2025-2026,Getafe
Domingos Duarte,2016-2017,Belenenses
Domingos Duarte,2017-2018,Chaves
Domingos Duarte,2018-2019,Deportivo La Coruña
Domingos Duarte,2019-2020,Granada
Domingos Duarte,2020-2021,Granada
Domingos Duarte,2021-2022,Granada
Domingos Duarte,2022-2023,Getafe
Domingos Duarte,2023-2024,Getafe
Domingos Duarte,2024-2025,Getafe
Domingos Duarte,2025-2026,Getafe
Dominik Greif,2021-2022,Mallorca
Dominik Greif,2022-2023,Mallorca
Dominik Greif,2023-2024,Mallorca
Dominik Greif,2024-2025,Mallorca
Dominik Greif,2025-2026,Lyon
Eduardo Camavinga,2018-2019,Rennes
Eduardo Camavinga,2019-2020,Rennes
Eduardo Camavinga,2020-2021,Rennes
Eduardo Camavinga,2021-2022,Rennes
Eduardo Camavinga,2021-2022,Real Madrid
Eduardo Camavinga,2022-2023,Real Madrid
Eduardo Camavinga,2023-2024,Real Madrid
Eduardo Camavinga,2024-2025,Real Madrid
Eduardo Camavinga,2025-2026,Real Madrid
Enzo Boyomo,2019-2020,Blackburn Rovers
Enzo Boyomo,2020-2021,Albacete
Enzo Boyomo,2022-2023,Albacete
Enzo Boyomo,2023-2024,Valladolid
Enzo Boyomo,2024-2025,Valladolid
Enzo Boyomo,2024-2025,Osasuna
Enzo Boyomo,2025-2026,Osasuna
Eray Cömert,2015-2016,Basel
Eray Cömert,2016-2017,Basel
Eray Cömert,2016-2017,Lugano
Eray Cömert,2017-2018,Sion
Eray Cömert,2018-2019,Basel
Eray Cömert,2019-2020,Basel
Eray Cömert,2020-2021,Basel
Eray Cömert,2021-2022,Basel
Eray Cömert,2021-2022,Valencia
Eray Cömert,2022-2023,Valencia
Eray Cömert,2023-2024,Nantes
Eray Cömert,2024-2025,Valladolid
Eray Cömert,2025-2026,Valencia
Federico Valverde,2015-2016,Peñarol
Federico Valverde,2017-2018,Deportivo La Coruña
Federico Valverde,2018-2019,Real Madrid
Federico Valverde,2019-2020,Real Madrid
Federico Valverde,2020-2021,Real Madrid
Federico Valverde,2021-2022,Real Madrid
Federico Valverde,2022-2023,Real Madrid
Federico Valverde,2023-2024,Real Madrid
Federico Valverde,2024-2025,Real Madrid
Federico Valverde,2025-2026,Real Madrid
Ferland Mendy,2014-2015,Le Havre
Ferland Mendy,2015-2016,Le Havre
Ferland Mendy,2016-2017,Le Havre
Ferland Mendy,2017-2018,Lyon
Ferland Mendy,2018-2019,Lyon
Ferland Mendy,2019-2020,Real Madrid
Ferland Mendy,2020-2021,Real Madrid
Ferland Mendy,2021-2022,Real Madrid
Ferland Mendy,2022-2023,Real Madrid
Ferland Mendy,2023-2024,Real Madrid
Ferland Mendy,2024-2025,Real Madrid
Ferland Mendy,2025-2026,Real Madrid
Fermín López,2023-2024,Barcelona
Fermín López,2024-2025,Barcelona
Fermín López,2025-2026,Barcelona
Fran Beltrán,2016-2017,Rayo Vallecano
Fran Beltrán,2017-2018,Rayo Vallecano
Fran Beltrán,2018-2019,Celta Vigo
Fran Beltrán,2019-2020,Celta Vigo
Fran Beltrán,2020-2021,Celta Vigo
Fran Beltrán,2021-2022,Celta Vigo
Fran Beltrán,2022-2023,Celta Vigo
Fran Beltrán,2023-2024,Celta Vigo
Fran Beltrán,2024-2025,Celta Vigo
Fran Beltrán,2025-2026,Celta Vigo
Fran Beltrán,2025-2026,Girona
Fran García,2020-2021,Rayo Vallecano
Fran García,2021-2022,Rayo Vallecano
Fran García,2022-2023,Rayo Vallecano
Fran García,2023-2024,Real Madrid
Fran García,2024-2025,Real Madrid
Fran García,2025-2026,Real Madrid
Hugo Novoa,2019-2020,RB Leipzig
Hugo Novoa,2020-2021,RB Leipzig
Hugo Novoa,2020-2021,RB Leipzig (U19)
Hugo Novoa,2021-2022,RB Leipzig (U19)
Hugo Novoa,2021-2022,RB Leipzig
Hugo Novoa,2022-2023,Basel
Hugo Novoa,2022-2023,RB Leipzig
Hugo Novoa,2023-2024,RB Leipzig
Hugo Novoa,2023-2024,Utrecht
Hugo Novoa,2023-2024,Villarreal B
Hugo Novoa,2024-2025,Alavés
Hugo Novoa,2025-2026,CD Mirandés
Hugo Sotelo,2020-2021,Celta Vigo
Hugo Sotelo,2021-2022,Celta Vigo
Hugo Sotelo,2022-2023,Celta Vigo
Hugo Sotelo,2023-2024,Celta Vigo
Hugo Sotelo,2024-2025,Celta Vigo
Hugo Sotelo,2025-2026,Celta Vigo
Hugo Álvarez,2021-2022,Celta Vigo
Hugo Álvarez,2022-2023,Celta Vigo
Hugo Álvarez,2023-2024,Celta Vigo
Hugo Álvarez,2024-2025,Celta Vigo
Hugo Álvarez,2025-2026,Celta Vigo
Iglesias,2020-2021,Getafe
Iglesias,2021-2022,Getafe
Iglesias,2022-2023,Getafe
Iglesias,2023-2024,Getafe
Iglesias,2024-2025,Getafe
Iglesias,2025-2026,Getafe
Igor Zubeldia,2015-2016,Real Sociedad
Igor Zubeldia,2016-2017,Real Sociedad
Igor Zubeldia,2017-2018,Real Sociedad
Igor Zubeldia,2018-2019,Real Sociedad
Igor Zubeldia,2019-2020,Real Sociedad
Igor Zubeldia,2020-2021,Real Sociedad
Igor Zubeldia,2021-2022,Real Sociedad
Igor Zubeldia,2022-2023,Real Sociedad
Igor Zubeldia,2023-2024,Real Sociedad
Igor Zubeldia,2024-2025,Real Sociedad
Igor Zubeldia,2025-2026,Real Sociedad
Iván Sánchez,2014-2015,Almería
Iván Sánchez,2015-2016,Almería
Iván Sánchez,2016-2017,Almería
Iván Sánchez,2018-2019,Elche
Iván Sánchez,2019-2020,Elche
Iván Sánchez,2020-2021,Birmingham City
Iván Sánchez,2021-2022,Birmingham City
Iván Sánchez,2021-2022,Valladolid
Iván Sánchez,2022-2023,Valladolid
Iván Sánchez,2023-2024,Valladolid
Iván Sánchez,2024-2025,Valladolid
Iván Sánchez,2025-2026,Sepahan
Iñaki Peña,2021-2022,Galatasaray
Iñaki Peña,2022-2023,Barcelona
Iñaki Peña,2023-2024,Barcelona
Iñaki Peña,2024-2025,Barcelona
Iñaki Peña,2025-2026,Elche
Iñigo Martínez,2011-2012,Real Sociedad
Iñigo Martínez,2012-2013,Real Sociedad
Iñigo Martínez,2013-2014,Real Sociedad
Iñigo Martínez,2014-2015,Real Sociedad
Iñigo Martínez,2015-2016,Real Sociedad
Iñigo Martínez,2016-2017,Real Sociedad
Iñigo Martínez,2017-2018,Real Sociedad
Iñigo Martínez,2017-2018,Athletic Club
Iñigo Martínez,2018-2019,Athletic Club
Iñigo Martínez,2019-2020,Athletic Club
Iñigo Martínez,2020-2021,Athletic Club
Iñigo Martínez,2021-2022,Athletic Club
Iñigo Martínez,2022-2023,Athletic Club
Iñigo Martínez,2023-2024,Barcelona
Iñigo Martínez,2024-2025,Barcelona
Iñigo Martínez,2025-2026,Al-Nassr
Jan Oblak,2011-2012,União de Leiria
Jan Oblak,2012-2013,Rio Ave
Jan Oblak,2013-2014,Benfica
Jan Oblak,2014-2015,Atlético Madrid
Jan Oblak,2015-2016,Atlético Madrid
Jan Oblak,2016-2017,Atlético Madrid
Jan Oblak,2017-2018,Atlético Madrid
Jan Oblak,2018-2019,Atlético Madrid
Jan Oblak,2019-2020,Atlético Madrid
Jan Oblak,2020-2021,Atlético Madrid
Jan Oblak,2021-2022,Atlético Madrid
Jan Oblak,2022-2023,Atlético Madrid
Jan Oblak,2023-2024,Atlético Madrid
Jan Oblak,2024-2025,Atlético Madrid
Jan Oblak,2025-2026,Atlético Madrid
Jasper Cillessen,2010-2011,NEC Nijmegen
Jasper Cillessen,2011-2012,NEC Nijmegen
Jasper Cillessen,2011-2012,Ajax
Jasper Cillessen,2012-2013,Ajax
Jasper Cillessen,2013-2014,Ajax
Jasper Cillessen,2013-2014,Jong Ajax
Jasper Cillessen,2014-2015,Jong Ajax
Jasper Cillessen,2014-2015,Ajax
Jasper Cillessen,2015-2016,Ajax
Jasper Cillessen,2016-2017,Ajax
Jasper Cillessen,2016-2017,Barcelona
Jasper Cillessen,2017-2018,Barcelona
Jasper Cillessen,2018-2019,Barcelona
Jasper Cillessen,2019-2020,Valencia
Jasper Cillessen,2020-2021,Valencia
Jasper Cillessen,2021-2022,Valencia
Jasper Cillessen,2022-2023,NEC Nijmegen
Jasper Cillessen,2023-2024,NEC Nijmegen
Jasper Cillessen,2024-2025,Las Palmas
Jasper Cillessen,2025-2026,NEC Nijmegen
Javi Hernández,2018-2019,Oviedo
Javi Hernández,2019-2020,Real Madrid
Javi Hernández,2020-2021,Leganés
